枝野幸男（続）：-0.1809：ヒット数：1836：ヒット率：33.71
古屋委員長：-0.1597：ヒット数：377：ヒット率：29.57
山尾志桜里：-0.1594：ヒット数：7479：ヒット率：30.55
藤原崇：-0.1584：ヒット数：175：ヒット率：32.0
中谷（元）委員：-0.1556：ヒット数：470：ヒット率：28.72
畑野枝：-0.1543：ヒット数：1108：ヒット率：31.86
伊藤渉（続）：-0.1543：ヒット数：1622：ヒット率：32.06
大塚耕平：-0.1529：ヒット数：2492：ヒット率：34.15
本村伸子：-0.1515：ヒット数：659：ヒット率：29.89
木原誠二：-0.1497：ヒット数：1050：ヒット率：33.81
黒岩宇洋：-0.1474：ヒット数：739：ヒット率：32.61
浦野靖人：-0.1472：ヒット数：789：ヒット率：29.4
佐藤委員長：-0.1466：ヒット数：137：ヒット率：26.97
森山浩行：-0.1452：ヒット数：7325：ヒット率：28.56
玉木雄一郎：-0.1431：ヒット数：1917：ヒット率：28.43
逢坂誠二：-0.1421：ヒット数：1388：ヒット率：27.67
金田勝年：-0.1412：ヒット数：253：ヒット率：29.25
武正委員：-0.1407：ヒット数：786：ヒット率：27.74
今野智博：-0.1407：ヒット数：1047：ヒット率：28.94
志位和夫：-0.1404：ヒット数：3457：ヒット率：29.3
西村智奈美：-0.1396：ヒット数：14250：ヒット率：27.0
山下芳生：-0.1395：ヒット数：1738：ヒット率：33.08
藤野保史：-0.1393：ヒット数：710：ヒット率：29.86
田野瀬太道：-0.1382：ヒット数：186：ヒット率：31.83
伊藤渉：-0.1382：ヒット数：1897：ヒット率：32.69
石原宏高：-0.138：ヒット数：995：ヒット率：31.76
宮本徹：-0.1377：ヒット数：769：ヒット率：28.74
篠原豪：-0.1375：ヒット数：10903：ヒット率：28.96
井上貴博：-0.1369：ヒット数：732：ヒット率：33.06
杉本和巳：-0.1368：ヒット数：803：ヒット率：31.76
有田芳生：-0.136：ヒット数：1511：ヒット率：29.12
宮本岳志：-0.1343：ヒット数：726：ヒット率：27.55
玉城委員：-0.1338：ヒット数：608：ヒット率：26.48
山井和則（続）：-0.1329：ヒット数：6551：ヒット率：25.43
松平浩一：-0.1324：ヒット数：1266：ヒット率：28.52
山井和則：-0.1322：ヒット数：8581：ヒット率：24.93
椎木保：-0.1307：ヒット数：660：ヒット率：28.94
泉健太：-0.1304：ヒット数：1276：ヒット率：28.53
岡田克也：-0.1301：ヒット数：1370：ヒット率：27.23
木村参考人：-0.1295：ヒット数：246：ヒット率：26.02
榛葉賀津也：-0.1284：ヒット数：1948：ヒット率：30.18
稲富修二：-0.1276：ヒット数：1678：ヒット率：27.83
大西健介：-0.1269：ヒット数：1650：ヒット率：26.42
枝野幸男：-0.1265：ヒット数：1082：ヒット率：26.8
小西洋之：-0.1263：ヒット数：680：ヒット率：29.12
宮川伸：-0.1258：ヒット数：1366：ヒット率：24.89
西村康稔：-0.1258：ヒット数：895：ヒット率：26.37
安住淳：-0.124：ヒット数：4168：ヒット率：26.3
北村経夫：-0.1239：ヒット数：835：ヒット率：28.74
山崎誠：-0.1234：ヒット数：1293：ヒット率：27.07
岡本あき子：-0.1228：ヒット数：1316：ヒット率：26.37
山内康一：-0.122：ヒット数：2188：ヒット率：24.31
亀岡偉民：-0.1185：ヒット数：815：ヒット率：29.82
足立康史：-0.1177：ヒット数：173：ヒット率：26.01
井野俊郎：-0.1152：ヒット数：200：ヒット率：29.0
森田俊和：-0.114：ヒット数：1366：ヒット率：24.38
山井委員：-0.1055：ヒット数：339：ヒット率：19.76
泉委員：-0.1043：ヒット数：319：ヒット率：17.87
西村（智）委員：-0.0767：ヒット数：301：ヒット率：18.94
