高井崇志：-0.2507：ヒット数：64：ヒット率：64.65：単語総数：99
古屋圭司：-0.2332：ヒット数：217：ヒット率：58.32：単語総数：377
高市早苗：-0.2215：ヒット数：44：ヒット率：57.89：単語総数：76
枝野幸男：-0.2212：ヒット数：1991：ヒット率：69.38：単語総数：2918
佐藤勉：-0.2205：ヒット数：79：ヒット率：57.61：単語総数：137
山尾志桜里：-0.2146：ヒット数：5203：ヒット率：69.57：単語総数：7479
木村草太：-0.2138：ヒット数：175：ヒット率：71.14：単語総数：246
金田勝年：-0.2087：ヒット数：178：ヒット率：70.36：単語総数：253
浦野靖人：-0.2072：ヒット数：546：ヒット率：69.2：単語総数：789
岡本あき子：-0.2042：ヒット数：940：ヒット率：72.41：単語総数：1382
杉本和巳：-0.204：ヒット数：577：ヒット率：71.86：単語総数：803
今野智博：-0.2037：ヒット数：709：ヒット率：67.72：単語総数：1047
山際大志郎：-0.2031：ヒット数：20：ヒット率：54.05：単語総数：37
宮本岳志：-0.2017：ヒット数：490：ヒット率：67.49：単語総数：726
小西洋之：-0.2015：ヒット数：454：ヒット率：66.76：単語総数：680
中谷元：-0.2014：ヒット数：330：ヒット率：70.21：単語総数：470
木原誠二：-0.2008：ヒット数：713：ヒット率：67.9：単語総数：1050
宮本徹：-0.1994：ヒット数：516：ヒット率：67.1：単語総数：769
志位和夫：-0.1973：ヒット数：2411：ヒット率：69.3：単語総数：3457
畑野枝：-0.1968：ヒット数：762：ヒット率：68.77：単語総数：1108
逢坂誠二：-0.1961：ヒット数：946：ヒット率：68.16：単語総数：1388
榛葉賀津也：-0.1956：ヒット数：1357：ヒット率：69.7：単語総数：1947
井野俊郎：-0.1946：ヒット数：128：ヒット率：64.0：単語総数：200
大塚耕平：-0.1937：ヒット数：1726：ヒット率：69.26：単語総数：2492
山崎誠：-0.1936：ヒット数：840：ヒット率：64.97：単語総数：1293
黒岩宇洋：-0.1936：ヒット数：493：ヒット率：66.71：単語総数：739
石原宏高：-0.1933：ヒット数：691：ヒット率：69.45：単語総数：995
本村伸子：-0.193：ヒット数：421：ヒット率：63.88：単語総数：659
藤原崇：-0.1925：ヒット数：113：ヒット率：64.57：単語総数：175
伊藤渉：-0.1924：ヒット数：2381：ヒット率：67.48：単語総数：3519
永井幸寿：-0.1915：ヒット数：150：ヒット率：69.44：単語総数：216
武正公一：-0.1912：ヒット数：497：ヒット率：63.23：単語総数：786
亀岡偉民：-0.1896：ヒット数：545：ヒット率：66.87：単語総数：815
井上貴博：-0.188：ヒット数：485：ヒット率：66.26：単語総数：732
玉木雄一郎：-0.1879：ヒット数：1302：ヒット率：67.92：単語総数：1917
有田芳生：-0.187：ヒット数：1033：ヒット率：68.37：単語総数：1511
北村経夫：-0.1868：ヒット数：549：ヒット率：65.75：単語総数：835
玉城デニー：-0.1867：ヒット数：418：ヒット率：68.75：単語総数：608
葉梨康弘：-0.1855：ヒット数：36：ヒット率：60.0：単語総数：60
森山浩行：-0.1854：ヒット数：4857：ヒット率：66.31：単語総数：7325
山下芳生：-0.1846：ヒット数：1216：ヒット率：69.97：単語総数：1738
泉健太：-0.1842：ヒット数：1081：ヒット率：65.16：単語総数：1595
山内康一：-0.184：ヒット数：1432：ヒット率：65.45：単語総数：2188
椎木保：-0.1838：ヒット数：429：ヒット率：65.0：単語総数：660
藤野保史：-0.1825：ヒット数：473：ヒット率：66.62：単語総数：710
森田俊和：-0.1825：ヒット数：902：ヒット率：66.03：単語総数：1366
岡田克也：-0.1817：ヒット数：927：ヒット率：67.66：単語総数：1370
西村康稔：-0.1812：ヒット数：611：ヒット率：68.27：単語総数：895
稲富修二：-0.1804：ヒット数：1089：ヒット率：64.9：単語総数：1678
篠原豪：-0.1788：ヒット数：7319：ヒット率：67.13：単語総数：10903
松平浩一：-0.1777：ヒット数：860：ヒット率：67.93：単語総数：1266
郷原悟：-0.176：ヒット数：35：ヒット率：63.64：単語総数：55
安住淳：-0.1742：ヒット数：2782：ヒット率：66.75：単語総数：4168
山井和則：-0.1715：ヒット数：9930：ヒット率：62.37：単語総数：15469
田野瀬太道：-0.1685：ヒット数：106：ヒット率：56.96：単語総数：186
笹川博義：-0.1673：ヒット数：52：ヒット率：56.55：単語総数：92
星野剛士：-0.1628：ヒット数：26：ヒット率：55.32：単語総数：47
宮川伸：-0.162：ヒット数：874：ヒット率：63.98：単語総数：1366
足立康史：-0.1481：ヒット数：98：ヒット率：56.65：単語総数：173
大西健介：-0.1376：ヒット数：1091：ヒット率：66.12：単語総数：1650
西村智奈美：-0.1296：ヒット数：9645：ヒット率：61.81：単語総数：14551
