堂故茂：-0.2688：ヒット数：414：ヒット率：66.44：単語総数：649
高市早苗：-0.2547：ヒット数：107：ヒット率：67.57：単語総数：161
串田誠一：-0.2348：ヒット数：93：ヒット率：67.88：単語総数：137
武藤容治：-0.2343：ヒット数：380：ヒット率：60.64：単語総数：610
里見隆治：-0.2334：ヒット数：346：ヒット率：68.07：単語総数：516
末松信介：-0.2296：ヒット数：68：ヒット率：61.26：単語総数：111
神谷裕：-0.221：ヒット数：2513：ヒット率：71.0：単語総数：3580
小川勝也：-0.2184：ヒット数：3300：ヒット率：70.26：単語総数：4789
佐野雅昭：-0.2164：ヒット数：2110：ヒット率：71.09：単語総数：2968
郷原悟：-0.2153：ヒット数：104：ヒット率：61.54：単語総数：169
鉢呂吉雄：-0.2122：ヒット数：1769：ヒット率：66.42：単語総数：2720
平野達男：-0.2083：ヒット数：483：ヒット率：67.84：単語総数：713
藤田幸久：-0.2059：ヒット数：69：ヒット率：54.33：単語総数：127
古川康：-0.2059：ヒット数：63：ヒット率：64.29：単語総数：98
藤井比早之：-0.2051：ヒット数：732：ヒット率：68.5：単語総数：1071
舟山康江：-0.2034：ヒット数：1283：ヒット率：66.49：単語総数：1903
山下芳生：-0.2027：ヒット数：1202：ヒット率：70.29：単語総数：1710
八木信行：-0.2008：ヒット数：1695：ヒット率：72.34：単語総数：2428
初鹿明博：-0.1985：ヒット数：1263：ヒット率：69.89：単語総数：1807
進藤金日子：-0.1983：ヒット数：1848：ヒット率：68.22：単語総数：2691
逢坂誠二：-0.198：ヒット数：302：ヒット率：68.48：単語総数：441
田名部匡代：-0.1974：ヒット数：1205：ヒット率：69.29：単語総数：1739
金子恵美：-0.1951：ヒット数：1727：ヒット率：70.46：単語総数：2462
赤間廣志：-0.193：ヒット数：1829：ヒット率：64.97：単語総数：2706
田村貴昭：-0.1911：ヒット数：1658：ヒット率：66.74：単語総数：2392
岸宏：-0.1906：ヒット数：1836：ヒット率：70.01：単語総数：2594
加瀬和俊：-0.19：ヒット数：1984：ヒット率：69.16：単語総数：2792
緑川貴士：-0.1897：ヒット数：3151：ヒット率：70.19：単語総数：4499
中泉松司：-0.189：ヒット数：1185：ヒット率：69.99：単語総数：1693
岡田直樹：-0.188：ヒット数：721：ヒット率：69.66：単語総数：1035
岩井茂樹：-0.1874：ヒット数：472：ヒット率：64.04：単語総数：737
難波奨二：-0.1864：ヒット数：1175：ヒット率：68.27：単語総数：1721
大島九州男：-0.1859：ヒット数：1283：ヒット率：69.16：単語総数：1855
蓮舫：-0.1854：ヒット数：1729：ヒット率：68.88：単語総数：2510
福山守：-0.1839：ヒット数：73：ヒット率：68.22：単語総数：107
吉川貴盛：-0.1826：ヒット数：8016：ヒット率：65.24：単語総数：11297
高鳥修一：-0.1825：ヒット数：129：ヒット率：74.14：単語総数：174
細田健一：-0.182：ヒット数：610：ヒット率：71.18：単語総数：857
丸山穂高：-0.1816：ヒット数：436：ヒット率：62.37：単語総数：699
近藤和也：-0.1802：ヒット数：2510：ヒット率：66.0：単語総数：3822
徳永エリ：-0.1798：ヒット数：3274：ヒット率：66.14：単語総数：4832
森ゆうこ：-0.1781：ヒット数：2099：ヒット率：63.25：単語総数：3230
小熊慎司：-0.1764：ヒット数：1054：ヒット率：65.15：単語総数：1558
大串博志：-0.1745：ヒット数：481：ヒット率：62.71：単語総数：767
長谷成人：-0.1742：ヒット数：2780：ヒット率：70.0：単語総数：4021
斎藤嘉隆：-0.1739：ヒット数：1113：ヒット率：67.21：単語総数：1656
風間直樹：-0.1734：ヒット数：1201：ヒット率：69.3：単語総数：1733
紙智子：-0.1725：ヒット数：4624：ヒット率：64.23：単語総数：6960
関健一郎：-0.1701：ヒット数：394：ヒット率：65.73：単語総数：598
山田俊男：-0.1698：ヒット数：653：ヒット率：66.03：単語総数：989
安倍晋三：-0.1661：ヒット数：4236：ヒット率：66.44：単語総数：6378
稲津久：-0.1657：ヒット数：2753：ヒット率：65.52：単語総数：4102
川田龍平：-0.1652：ヒット数：57：ヒット率：62.64：単語総数：91
儀間光男：-0.1648：ヒット数：2399：ヒット率：64.0：単語総数：3753
森夏枝：-0.1596：ヒット数：1592：ヒット率：67.93：単語総数：2351
亀井亜紀子：-0.1573：ヒット数：2137：ヒット率：65.0：単語総数：3121
木村次郎：-0.1378：ヒット数：251：ヒット率：64.69：単語総数：388
大野泰正：-0.1167：ヒット数：964：ヒット率：65.58：単語総数：1438
