古屋圭司：-7.3333：ヒット数：17：ヒット率：4.12：単語総数：377
佐藤勉：-4.0：ヒット数：5：ヒット率：3.64：単語総数：137
田野瀬太道：-4.0：ヒット数：16：ヒット率：8.56：単語総数：186
枝野幸男：-3.1522：ヒット数：312：ヒット率：11.56：単語総数：2918
高市早苗：-2.0：ヒット数：3：ヒット率：3.95：単語総数：76
笹川博義：-2.0：ヒット数：8：ヒット率：8.7：単語総数：92
郷原悟：-1.0：ヒット数：4：ヒット率：7.27：単語総数：55
星野剛士：-1.0：ヒット数：4：ヒット率：8.51：単語総数：47
志位和夫：-0.8193：ヒット数：390：ヒット率：11.58：単語総数：3457
足立康史：-0.6：ヒット数：14：ヒット率：8.09：単語総数：173
金田勝年：-0.5：ヒット数：30：ヒット率：11.86：単語総数：253
宮本岳志：-0.4706：ヒット数：86：ヒット率：11.85：単語総数：726
椎木保：-0.3438：ヒット数：77：ヒット率：11.67：単語総数：660
木村草太：-0.3333：ヒット数：26：ヒット率：10.57：単語総数：246
逢坂誠二：-0.3333：ヒット数：130：ヒット率：9.37：単語総数：1388
畑野枝：-0.3269：ヒット数：95：ヒット率：8.57：単語総数：1108
岡本あき子：-0.277：ヒット数：159：ヒット率：12.52：単語総数：1382
藤原崇：-0.25：ヒット数：28：ヒット率：16.0：単語総数：175
西村智奈美：-0.2333：ヒット数：1406：ヒット率：9.32：単語総数：14551
山尾志桜里：-0.1985：ヒット数：877：ヒット率：11.73：単語総数：7479
永井幸寿：-0.1667：ヒット数：17：ヒット率：7.87：単語総数：216
山内康一：-0.1275：ヒット数：249：ヒット率：11.38：単語総数：2188
山井和則：-0.1081：ヒット数：1430：ヒット率：7.34：単語総数：15469
小西洋之：-0.1042：ヒット数：75：ヒット率：11.03：単語総数：680
宮本徹：-0.06：ヒット数：93：ヒット率：12.09：単語総数：769
本村伸子：-0.0377：ヒット数：91：ヒット率：13.81：単語総数：659
大西健介：-0.029：ヒット数：163：ヒット率：9.88：単語総数：1650
高井崇志：0：ヒット数：0：ヒット率：0.0：単語総数：99
浦野靖人：0.0：ヒット数：99：ヒット率：12.55：単語総数：789
藤野保史：0.027：ヒット数：70：ヒット率：9.86：単語総数：710
西村康稔：0.0351：ヒット数：101：ヒット率：11.28：単語総数：895
篠原豪：0.0465：ヒット数：984：ヒット率：9.03：単語総数：10903
宮川伸：0.0469：ヒット数：133：ヒット率：9.74：単語総数：1366
武正公一：0.0556：ヒット数：56：ヒット率：7.12：単語総数：786
大塚耕平：0.0556：ヒット数：231：ヒット率：9.27：単語総数：2492
中谷元：0.0625：ヒット数：37：ヒット率：7.87：単語総数：470
安住淳：0.0751：ヒット数：394：ヒット率：9.45：単語総数：4168
今野智博：0.0755：ヒット数：135：ヒット率：12.89：単語総数：1047
森山浩行：0.0776：ヒット数：727：ヒット率：9.92：単語総数：7325
玉城デニー：0.1071：ヒット数：55：ヒット率：9.05：単語総数：608
有田芳生：0.1111：ヒット数：148：ヒット率：9.79：単語総数：1511
玉木雄一郎：0.1325：ヒット数：202：ヒット率：10.54：単語総数：1917
黒岩宇洋：0.1429：ヒット数：86：ヒット率：11.64：単語総数：739
稲富修二：0.1429：ヒット数：196：ヒット率：11.68：単語総数：1678
北村経夫：0.2157：ヒット数：102：ヒット率：12.22：単語総数：835
岡田克也：0.225：ヒット数：170：ヒット率：12.41：単語総数：1370
石原宏高：0.2464：ヒット数：138：ヒット率：13.87：単語総数：995
松平浩一：0.25：ヒット数：132：ヒット率：10.43：単語総数：1266
杉本和巳：0.26：ヒット数：85：ヒット率：10.59：単語総数：803
山下芳生：0.2941：ヒット数：208：ヒット率：11.97：単語総数：1738
山崎誠：0.3636：ヒット数：162：ヒット率：12.53：単語総数：1293
井上貴博：0.3913：ヒット数：104：ヒット率：14.21：単語総数：732
森田俊和：0.5156：ヒット数：141：ヒット率：10.32：単語総数：1366
井野俊郎：0.5263：ヒット数：37：ヒット率：18.5：単語総数：200
榛葉賀津也：0.5732：ヒット数：205：ヒット率：10.53：単語総数：1947
木原誠二：0.5818：ヒット数：127：ヒット率：12.1：単語総数：1050
亀岡偉民：0.6222：ヒット数：107：ヒット率：13.13：単語総数：815
伊藤渉：0.6906：ヒット数：433：ヒット率：12.61：単語総数：3519
泉健太：0.8336：ヒット数：164：ヒット率：9.01：単語総数：1595
葉梨康弘：2.0：ヒット数：7：ヒット率：11.67：単語総数：60
山際大志郎：3：ヒット数：3：ヒット率：8.11：単語総数：37
