高市早苗：-1.2：ヒット数：18：ヒット率：10.28：単語総数：161
森ゆうこ：-0.3118：ヒット数：302：ヒット率：8.52：単語総数：3230
山下芳生：-0.2022：ヒット数：177：ヒット率：10.35：単語総数：1710
郷原悟：-0.2：ヒット数：8：ヒット率：4.73：単語総数：169
末松信介：-0.2：ヒット数：8：ヒット率：7.21：単語総数：111
丸山穂高：-0.0952：ヒット数：43：ヒット率：6.15：単語総数：699
初鹿明博：-0.0833：ヒット数：212：ヒット率：11.73：単語総数：1807
難波奨二：0.0854：ヒット数：161：ヒット率：9.36：単語総数：1721
田名部匡代：0.0899：ヒット数：191：ヒット率：10.98：単語総数：1739
藤田幸久：0.1111：ヒット数：14：ヒット率：11.02：単語総数：127
蓮舫：0.1351：ヒット数：240：ヒット率：9.56：単語総数：2510
岡田直樹：0.2462：ヒット数：125：ヒット率：12.08：単語総数：1035
大串博志：0.25：ヒット数：56：ヒット率：7.3：単語総数：767
大島九州男：0.2979：ヒット数：196：ヒット率：10.57：単語総数：1855
木村次郎：0.3158：ヒット数：41：ヒット率：10.57：単語総数：388
加瀬和俊：0.3193：ヒット数：238：ヒット率：9.6：単語総数：2792
舟山康江：0.322：ヒット数：239：ヒット率：10.92：単語総数：1903
高鳥修一：0.3333：ヒット数：20：ヒット率：11.49：単語総数：174
赤間廣志：0.3729：ヒット数：201：ヒット率：6.94：単語総数：2706
斎藤嘉隆：0.3788：ヒット数：149：ヒット率：9.0：単語総数：1656
里見隆治：0.3929：ヒット数：38：ヒット率：6.94：単語総数：516
串田誠一：0.4：ヒット数：9：ヒット率：6.57：単語総数：137
山田俊男：0.4167：ヒット数：79：ヒット率：7.99：単語総数：989
岸宏：0.4247：ヒット数：266：ヒット率：10.5：単語総数：2594
佐野雅昭：0.4412：ヒット数：304：ヒット率：10.24：単語総数：2968
古川康：0.5：ヒット数：8：ヒット率：8.16：単語総数：98
川田龍平：0.5714：ヒット数：11：ヒット率：12.09：単語総数：91
風間直樹：0.6164：ヒット数：194：ヒット率：11.19：単語総数：1733
逢坂誠二：0.6429：ヒット数：29：ヒット率：6.58：単語総数：441
岩井茂樹：0.6667：ヒット数：74：ヒット率：10.04：単語総数：737
中泉松司：0.75：ヒット数：204：ヒット率：12.05：単語総数：1693
平野達男：0.8636：ヒット数：54：ヒット率：7.29：単語総数：713
細田健一：0.9091：ヒット数：96：ヒット率：11.2：単語総数：857
鉢呂吉雄：0.9367：ヒット数：171：ヒット率：6.79：単語総数：2720
関健一郎：1.0471：ヒット数：44：ヒット率：7.53：単語総数：598
八木信行：1.1138：ヒット数：274：ヒット率：10.43：単語総数：2428
金子恵美：1.1146：ヒット数：281：ヒット率：10.88：単語総数：2462
福山守：1.1667：ヒット数：13：ヒット率：12.15：単語総数：107
稲津久：1.191：ヒット数：433：ヒット率：9.05：単語総数：4102
藤井比早之：1.2897：ヒット数：115：ヒット率：10.47：単語総数：1071
儀間光男：1.585：ヒット数：318：ヒット率：9.17：単語総数：3753
小熊慎司：1.6386：ヒット数：184：ヒット率：10.84：単語総数：1558
徳永エリ：1.6822：ヒット数：462：ヒット率：8.82：単語総数：4832
近藤和也：1.8225：ヒット数：296：ヒット率：7.21：単語総数：3822
亀井亜紀子：1.9571：ヒット数：277：ヒット率：7.37：単語総数：3121
緑川貴士：2.1589：ヒット数：445：ヒット率：8.63：単語総数：4499
大野泰正：2.4223：ヒット数：195：ヒット率：12.9：単語総数：1438
安倍晋三：2.6425：ヒット数：820：ヒット率：12.23：単語総数：6378
進藤金日子：3.0867：ヒット数：233：ヒット率：8.3：単語総数：2691
小川勝也：3.2076：ヒット数：420：ヒット率：8.97：単語総数：4789
堂故茂：3.2333：ヒット数：68：ヒット率：12.46：単語総数：649
田村貴昭：3.7144：ヒット数：247：ヒット率：8.53：単語総数：2392
紙智子：4.2744：ヒット数：657：ヒット率：8.12：単語総数：6960
森夏枝：4.7007：ヒット数：253：ヒット率：10.45：単語総数：2351
武藤容治：5.4667：ヒット数：55：ヒット率：9.25：単語総数：610
長谷成人：7.548：ヒット数：410：ヒット率：12.2：単語総数：4021
吉川貴盛：11.235：ヒット数：1297：ヒット率：8.02：単語総数：11297
神谷裕：13.3932：ヒット数：368：ヒット率：9.86：単語総数：3580
