○高木（毅）委員：-0.1936：ヒット数：203：ヒット率：47.78
○佐藤委員長：-0.1931：ヒット数：2448：ヒット率：44.67
○参考人（福田充）：-0.1835：ヒット数：2197：ヒット率：34.55
○政府参考人（小川秀樹）：-0.1763：ヒット数：339：ヒット率：31.27
○石橋通宏：-0.1751：ヒット数：413：ヒット率：35.84
○山田政府参考人：-0.1743：ヒット数：452：ヒット率：35.05
○稲富修二：-0.1699：ヒット数：1333：ヒット率：32.78
○石田（真）委員：-0.1681：ヒット数：39：ヒット率：38.46
○副大臣（大口善徳）：-0.1655：ヒット数：299：ヒット率：33.78
○岡本（充）委員：-0.1599：ヒット数：690：ヒット率：30.46
○高鳥修一：-0.1595：ヒット数：326：ヒット率：37.42
○宇都宮政府参考人：-0.1593：ヒット数：6928：ヒット率：34.15
○浜地雅一：-0.1575：ヒット数：1430：ヒット率：34.69
○菅原委員：-0.1556：ヒット数：45：ヒット率：40.0
○大西（健）委員：-0.1556：ヒット数：848：ヒット率：29.05
○政府参考人（吉永和生）：-0.1547：ヒット数：469：ヒット率：30.06
○佐藤（英）委員：-0.153：ヒット数：370：ヒット率：36.22
○初鹿明博：-0.1524：ヒット数：1807：ヒット率：30.49
○田村智子：-0.1522：ヒット数：590：ヒット率：31.02
○橋本委員：-0.1517：ヒット数：530：ヒット率：39.25
○柚木道義：-0.1516：ヒット数：1452：ヒット率：31.61
○国務大臣（加藤勝信）：-0.151：ヒット数：3381：ヒット率：37.03
○西村（智）委員：-0.1498：ヒット数：1521：ヒット率：30.48
○参考人（二階堂健男）：-0.1497：ヒット数：1798：ヒット率：31.54
○副大臣（高木美智代）：-0.1494：ヒット数：325：ヒット率：32.62
○政府参考人（森岡泰裕）：-0.1477：ヒット数：166：ヒット率：33.73
○参考人（橋本淳司）：-0.1474：ヒット数：1972：ヒット率：29.92
○武内則男：-0.1472：ヒット数：1006：ヒット率：30.62
○高橋千鶴子：-0.1469：ヒット数：979：ヒット率：33.29
○青山大人：-0.1463：ヒット数：1692：ヒット率：33.51
○末松副大臣：-0.1462：ヒット数：217：ヒット率：36.41
○西田実仁：-0.1461：ヒット数：451：ヒット率：28.38
○政府参考人（宇都宮啓）：-0.1458：ヒット数：882：ヒット率：33.24
○政府参考人（塚原浩一）：-0.1455：ヒット数：207：ヒット率：32.37
○高木副大臣：-0.1439：ヒット数：2813：ヒット率：31.96
○大臣政務官（新谷正義）：-0.1437：ヒット数：369：ヒット率：32.25
○倉林明子：-0.1435：ヒット数：529：ヒット率：33.84
○池田（真）委員：-0.1433：ヒット数：193：ヒット率：27.46
○上田政府参考人：-0.1408：ヒット数：146：ヒット率：31.51
○高瀬弘美：-0.1392：ヒット数：556：ヒット率：27.88
○川田龍平：-0.139：ヒット数：1052：ヒット率：28.69
○加藤国務大臣：-0.1388：ヒット数：4174：ヒット率：34.8
○政府参考人（宮嵜雅則）：-0.138：ヒット数：8549：ヒット率：31.85
○北島政府参考人：-0.1379：ヒット数：281：ヒット率：31.82
○武内委員：-0.1376：ヒット数：2342：ヒット率：26.57
○山本太郎：-0.1363：ヒット数：692：ヒット率：28.38
○青木愛：-0.1361：ヒット数：689：ヒット率：27.7
○政府参考人（北島智子）：-0.1359：ヒット数：822：ヒット率：36.09
○もとむら委員：-0.1325：ヒット数：431：ヒット率：26.5
