山尾志桜里：-80：ヒット数：877：ヒット率：7479
山井和則：-75：ヒット数：783：ヒット率：8581
志位和夫：-67：ヒット数：390：ヒット率：3457
枝野幸男（続）：-41：ヒット数：213：ヒット率：1836
逢坂誠二：-17：ヒット数：130：ヒット率：1388
西村智奈美：-17：ヒット数：1379：ヒット率：14250
山内康一：-13：ヒット数：249：ヒット率：2188
岡本あき子：-2：ヒット数：150：ヒット率：1316
大西健介：-2：ヒット数：163：ヒット率：1650
泉健太：1：ヒット数：142：ヒット率：1276
西村康稔：2：ヒット数：101：ヒット率：895
宮川伸：3：ヒット数：133：ヒット率：1366
今野智博：4：ヒット数：135：ヒット率：1047
有田芳生：7：ヒット数：148：ヒット率：1511
大塚耕平：7：ヒット数：231：ヒット率：2492
北村経夫：11：ヒット数：102：ヒット率：835
玉木雄一郎：11：ヒット数：202：ヒット率：1917
稲富修二：12：ヒット数：196：ヒット率：1678
安住淳：13：ヒット数：394：ヒット率：4168
松平浩一：16：ヒット数：132：ヒット率：1266
石原宏高：17：ヒット数：138：ヒット率：995
井上貴博：18：ヒット数：104：ヒット率：732
岡田克也：18：ヒット数：170：ヒット率：1370
伊藤渉：22：ヒット数：242：ヒット率：1897
山崎誠：24：ヒット数：162：ヒット率：1293
篠原豪：24：ヒット数：984：ヒット率：10903
山井和則（続）：27：ヒット数：629：ヒット率：6549
森山浩行：27：ヒット数：727：ヒット率：7325
亀岡偉民：28：ヒット数：107：ヒット率：815
山下芳生：30：ヒット数：208：ヒット率：1738
木原誠二：32：ヒット数：127：ヒット率：1050
森田俊和：33：ヒット数：141：ヒット率：1366
伊藤渉（続）：46：ヒット数：191：ヒット率：1622
榛葉賀津也：47：ヒット数：205：ヒット率：1947
