○山本委員長：-0.2281：ヒット数：57：ヒット率：36.84
○北側委員：-0.1763：ヒット数：1491：ヒット率：36.75
○山本公一：-0.1742：ヒット数：429：ヒット率：34.27
○塩川委員：-0.1721：ヒット数：674：ヒット率：32.77
○国務大臣（野田聖子）：-0.167：ヒット数：362：ヒット率：32.04
○保岡委員：-0.1639：ヒット数：547：ヒット率：28.88
○永井参考人：-0.1629：ヒット数：542：ヒット率：33.39
○黒岩委員：-0.1611：ヒット数：219：ヒット率：36.07
○梶山国務大臣：-0.1593：ヒット数：144：ヒット率：30.56
○竹本直一：-0.1583：ヒット数：295：ヒット率：32.88
○岡田（直）参議院議員：-0.1579：ヒット数：842：ヒット率：37.17
○井出委員：-0.1576：ヒット数：166：ヒット率：27.71
○磯崎参議院議員：-0.1572：ヒット数：442：ヒット率：29.86
○福田（昭）委員：-0.1568：ヒット数：585：ヒット率：25.81
○岡田直樹：-0.1556：ヒット数：846：ヒット率：36.88
○近藤（昭）委員：-0.1546：ヒット数：683：ヒット率：24.74
○吉良よし子：-0.1545：ヒット数：645：ヒット率：30.08
○角田分科員：-0.154：ヒット数：631：ヒット率：29.0
○保岡興治：-0.1512：ヒット数：265：ヒット率：34.72
○高市委員：-0.1505：ヒット数：294：ヒット率：29.59
○船田委員：-0.1498：ヒット数：1345：ヒット率：27.47
○鶴保庸介：-0.1473：ヒット数：1011：ヒット率：35.51
○国務大臣（上川陽子）：-0.1469：ヒット数：1354：ヒット率：30.69
○伊藤孝恵：-0.1468：ヒット数：136：ヒット率：26.47
○高市国務大臣：-0.1444：ヒット数：1778：ヒット率：30.64
○鶴保参議院議員：-0.1439：ヒット数：942：ヒット率：33.76
○片山虎之助：-0.1436：ヒット数：855：ヒット率：32.75
○参考人（桐谷次郎）：-0.1424：ヒット数：1624：ヒット率：30.3
○古賀委員：-0.1412：ヒット数：1112：ヒット率：26.08
○中野正志：-0.138：ヒット数：1284：ヒット率：32.48
○衆議院議員（逢坂誠二）：-0.137：ヒット数：222：ヒット率：35.14
○稲山政府参考人：-0.1346：ヒット数：677：ヒット率：24.87
○伯井政府参考人：-0.134：ヒット数：294：ヒット率：29.59
○政府参考人（藤原章夫）：-0.1339：ヒット数：242：ヒット率：29.75
○宮崎（政）委員：-0.1329：ヒット数：938：ヒット率：23.24
○野田国務大臣：-0.1327：ヒット数：104：ヒット率：27.88
○小野瀬政府参考人：-0.1321：ヒット数：454：ヒット率：28.63
○北側議員：-0.1311：ヒット数：654：ヒット率：24.94
○山崎力：-0.1303：ヒット数：567：ヒット率：31.75
○愛知治郎：-0.1301：ヒット数：1484：ヒット率：34.84
○国務大臣（高市早苗）：-0.1299：ヒット数：1422：ヒット率：32.41
○篠原委員：-0.1299：ヒット数：452：ヒット率：23.89
○清水貴之：-0.1293：ヒット数：1419：ヒット率：29.45
○政府参考人（小野瀬厚）：-0.1291：ヒット数：179：ヒット率：31.28
○委員以外の議員（藤末健三）：-0.1286：ヒット数：1184：ヒット率：28.43
○谷合正明：-0.1286：ヒット数：1260：ヒット率：27.66
○南部参考人：-0.128：ヒット数：221：ヒット率：20.36
○棚橋委員：-0.1279：ヒット数：268：ヒット率：25.37
○新藤国務大臣：-0.1266：ヒット数：625：ヒット率：30.42
○初鹿委員：-0.1263：ヒット数：355：ヒット率：24.23
○江田憲司：-0.1262：ヒット数：2266：ヒット率：27.76
