神谷（裕）委員：-0.1819：ヒット数：1328：ヒット率：34.08
高市委員長：-0.1798：ヒット数：161：ヒット率：38.53
神谷裕：-0.1693：ヒット数：2252：ヒット率：33.35
佐野参考人：-0.1668：ヒット数：2968：ヒット率：29.78
委員長（堂故茂）：-0.1661：ヒット数：649：ヒット率：34.62
小熊慎司：-0.1646：ヒット数：1413：ヒット率：33.19
事務総長（郷原悟）：-0.1623：ヒット数：169：ヒット率：33.73
里見隆治：-0.1601：ヒット数：516：ヒット率：30.1
田村貴昭：-0.1576：ヒット数：1343：ヒット率：33.02
加瀬参考人：-0.1542：ヒット数：2792：ヒット率：28.98
委員長（末松信介）：-0.1536：ヒット数：111：ヒット率：32.43
亀井亜紀子：-0.1529：ヒット数：1451：ヒット率：31.56
金子恵美：-0.1527：ヒット数：1287：ヒット率：32.9
初鹿明博：-0.1524：ヒット数：1807：ヒット率：30.49
緑川貴士：-0.1509：ヒット数：2480：ヒット率：31.81
武藤委員長：-0.1501：ヒット数：610：ヒット率：34.61
稲津久：-0.1496：ヒット数：1336：ヒット率：34.73
金子（恵）委員：-0.1494：ヒット数：1175：ヒット率：28.99
参考人（赤間廣志）：-0.1477：ヒット数：2706：ヒット率：29.04
細田健一：-0.1452：ヒット数：857：ヒット率：32.32
中泉松司：-0.1449：ヒット数：1693：ヒット率：32.55
参考人（岸宏）：-0.1427：ヒット数：2594：ヒット率：30.55
国務大臣（吉川貴盛）：-0.1421：ヒット数：10378：ヒット率：33.31
小川勝也：-0.1421：ヒット数：4789：ヒット率：28.31
藤田幸久：-0.142：ヒット数：127：ヒット率：25.2
舟山康江：-0.1414：ヒット数：133：ヒット率：24.81
進藤金日子：-0.1407：ヒット数：2691：ヒット率：28.39
鉢呂吉雄：-0.1378：ヒット数：2722：ヒット率：25.87
平野達男：-0.1375：ヒット数：713：ヒット率：26.26
森（夏）委員：-0.1361：ヒット数：1165：ヒット率：28.9
徳永エリ：-0.1356：ヒット数：4832：ヒット率：27.71
関（健）委員：-0.1349：ヒット数：598：ヒット率：27.36
田村（貴）委員：-0.1349：ヒット数：1049：ヒット率：26.7
政府参考人（長谷成人）：-0.1336：ヒット数：2450：ヒット率：32.81
逢坂委員：-0.1331：ヒット数：441：ヒット率：24.94
藤井委員：-0.1331：ヒット数：1071：ヒット率：30.21
八木参考人：-0.1316：ヒット数：2428：ヒット率：29.93
儀間光男：-0.1309：ヒット数：3753：ヒット率：28.71
近藤和也：-0.1304：ヒット数：1446：ヒット率：27.39
緑川委員：-0.1283：ヒット数：2019：ヒット率：26.6
近藤（和）委員：-0.1272：ヒット数：2376：ヒット率：23.34
紙智子：-0.1267：ヒット数：3939：ヒット率：25.71
丸山委員：-0.1262：ヒット数：699：ヒット率：20.74
大串（博）委員：-0.1256：ヒット数：767：ヒット率：23.21
長谷政府参考人：-0.1235：ヒット数：1571：ヒット率：30.66
稲津委員：-0.123：ヒット数：2766：ヒット率：25.44
内閣総理大臣（安倍晋三）：-0.1229：ヒット数：6378：ヒット率：29.77
森ゆうこ：-0.1221：ヒット数：1209：ヒット率：24.42
亀井委員：-0.1191：ヒット数：1670：ヒット率：25.02
森夏枝：-0.1188：ヒット数：1186：ヒット率：29.53
串田委員：-0.1159：ヒット数：137：ヒット率：24.82
副大臣（高鳥修一）：-0.1157：ヒット数：174：ヒット率：28.74
木村（次）委員：-0.1106：ヒット数：388：ヒット率：24.74
吉川国務大臣：-0.1097：ヒット数：919：ヒット率：27.97
山田俊男：-0.1046：ヒット数：989：ヒット率：22.24
大野泰正：-0.0976：ヒット数：1438：ヒット率：28.2
福山委員：-0.0883：ヒット数：107：ヒット率：26.17
小熊委員：-0.0727：ヒット数：145：ヒット率：20.69
